svl,tail,hdep,ljl,dtr,hw,nd,hum,ant,man,di4,sha,cru,foo,to4,wpg,dpg
CTENOPHORUS_NUCHALIS,4.68725211908333,4.97693737908333,2.74486280658333,3.37096417641667,3.06909801241667,3.14583099091667,2.046517161,2.78987246633333,2.66732874016667,1.85582536016667,2.05608442466667,3.12365735791667,3.10870464175,2.55763858775,2.46686155991667,3.03184230233333,2.80061894
CTENOPHORUS_ORNATUS,4.45268304833333,4.96718979333333,2.284651622,3.22780655333333,2.968013038,2.95271123133333,1.92477939666667,2.71086567966667,2.36377661933333,1.80090806,2.02986625466667,3.18787908566667,3.17609828466667,2.65299830233333,2.73510054933333,2.71388236766667,2.293010498
CTENOPHORUS_PICTUS,4.11973444975,4.70917870075,2.28487964275,2.9062781885,2.6926082355,2.61814971875,1.68815358475,2.2889900375,2.0204895405,1.316375799,1.700046938,2.7719103805,2.7755795575,2.2328901365,2.35099987325,2.4291599665,2.2403150065
CTENOPHORUS_RETICULATUS,4.5751786296,5.035152789,2.6788554291,3.308905063,3.0354308484,3.1107486828,1.9035214789,2.7253532174,2.5227822025,1.815891021,1.9572720863,3.0449326875,3.0704622354,2.4759291443,2.494821721,3.0075319366,2.721569861
CTENOPHORUS_RUBENS,4.190351871,5.059420419,2.2508323695,3.018425388,2.7955182205,2.601265498,1.735998064,2.340062602,2.2098388705,1.5640377305,1.670342164,2.92853671,3.025759405,2.4594772235,2.658622714,2.5474349435,2.3203462545
CTENOPHORUS_RUFESCENS,4.449822359,5.28143882833333,2.32853106433333,3.19540133766667,2.936803527,2.863285924,1.918509633,2.62566663933333,2.45513522033333,1.90523313566667,2.00256839266667,3.282256615,3.30201489033333,2.77242607233333,2.86269668233333,2.86421896733333,2.338867315
CTENOPHORUS_SALINARUM,4.16360498077778,4.64301005822222,2.33853314922222,2.98533737866667,2.75910156822222,2.69780512844444,1.79033054888889,2.35346365111111,2.12907789244444,1.44640807877778,1.74479464611111,2.72973047844444,2.75269965811111,2.18040657466667,2.36196499722222,2.48199222377778,2.31823608588889
CTENOPHORUS_SCUTULATUS,4.68626760155556,5.55700745111111,2.64816419366667,3.37988604222222,3.14073407466667,2.98116454822222,2.12171486955556,2.82888480077778,2.646909242,1.84894855533333,2.096170522,3.361936981,3.39862491344444,2.857047333,2.98990232844444,2.92417442366667,2.78817509755556
CTENOPHORUS_TJANTJALKA,4.21727642233333,5.01279087733333,2.46166246433333,3.11386005833333,2.89288436733333,2.85419082033333,1.88676098633333,2.444096215,2.20148205766667,1.63595164666667,1.887091156,3.02791898,3.09859962533333,2.545681375,2.64301048366667,2.723398656,2.44145039
CTENOPHORUS_VADNAPPA,4.33294469733333,5.09775286033333,2.41708136033333,3.22381196533333,2.973497374,2.94944241466667,1.97383662466667,2.48735916,2.32513214833333,1.81932911233333,1.95681737533333,3.11946390566667,3.15698620466667,2.589540682,2.700910098,2.79317069333333,2.43578177133333
DIPORIPHORA_ALBILABRIS,3.92362346275,4.69103402825,2.170837708,2.88412484525,2.69531152125,2.47001227125,1.55362256725,2.151796937,2.0369705695,1.11155849475,1.6375921635,2.459445502,2.5489987115,2.0660647575,2.1944774495,2.11427398225,2.22262907
DIPORIPHORA_ARNHEMICA,4.093723653,5.01681430075,2.1735912165,2.9050791865,2.71837590075,2.46764593325,1.7070779045,2.386572223,2.1738803915,1.28723738725,1.7553301185,2.7468034125,2.780697048,2.245322585,2.44649538125,2.262602875,2.28061938975
DIPORIPHORA_AUSTRALIS,4.1468998045,5.105486126,2.2946220175,2.940369648,2.737711422,2.5370366745,1.7119874415,2.418016732,2.275170587,1.2969253685,1.9753302145,2.731243676,2.774765617,2.2821945815,2.5478805985,2.1775486365,2.1866958415
DIPORIPHORA_BENNETTII,4.2016964528,5.0445350854,2.3718760682,3.1298774682,2.9375002414,2.6830930514,1.8122306334,2.4664899544,2.2512921474,1.2800785188,1.8777571942,2.805004258,2.7899915366,2.2928730426,2.5200419694,2.4420422374,2.3928611154
DIPORIPHORA_BILINEATA,4.0321597685,4.9807892145,2.16910937325,2.851353896,2.676791549,2.43056098,1.56740202075,2.2513579865,2.04898349125,1.1339053405,1.71684755375,2.54755000475,2.58798591075,2.09033697125,2.3556680015,2.074147335,2.12297917675
DIPORIPHORA_LALLIAE,4.22435594933333,5.25350200133333,2.27400171966667,3.005989797,2.82578252533333,2.52610611733333,1.76244431833333,2.327614293,2.140572513,1.37941929166667,1.963385125,2.759899501,2.752916486,2.25076180233333,2.493287519,2.347107605,2.23811003633333
DIPORIPHORA_LINGA,3.83047029233333,4.67210017266667,1.90627834966667,2.645451322,2.46611308666667,2.25881803866667,1.47499188866667,2.08994302533333,1.94410767766667,0.967476259666667,1.74108427666667,2.33229065666667,2.468412974,1.83683642233333,2.264954856,2.062149783,1.934314133
DIPORIPHORA_MAGNA,4.186550346,5.04058113525,2.337948743,3.0554083695,2.8602066795,2.60129232975,1.72020393525,2.41897309275,2.200759208,1.41752510975,1.84210234075,2.7102043665,2.688807225,2.18399801525,2.47934529075,2.335918024,2.33449436275
DIPORIPHORA_PINDAN,4.04884851566667,5.0104339,2.11618713766667,2.82349206266667,2.66211706166667,2.39647319066667,1.63065785766667,2.283395341,2.06272672,1.22973200966667,1.80469165533333,2.52518884933333,2.57264468633333,2.06663180733333,2.33404113666667,2.076745644,2.04467557966667
DIPORIPHORA_REGINAE,4.06007124125,4.96897599375,2.10626123775,2.79549482275,2.60230576725,2.37484637025,1.68794907625,2.202454462,2.001329021,1.17427066425,1.78236275225,2.4760941945,2.6184130785,2.116446745,2.47319051725,2.27946144875,2.17791272425
DIPORIPHORA_WINNECKEI,4.04224010411111,5.02726967077778,2.07579718344444,2.77244520433333,2.60094877155556,2.30398348755556,1.59972887055556,2.24469040222222,2.05780086866667,1.17089800933333,1.81887239811111,2.495864923,2.56128801322222,2.04647529411111,2.36872011833333,2.06117362944444,2.053214919
POGONA_BARBATA,5.21406676666667,5.50939667566667,3.22873762366667,4.06653745533333,3.72667487966667,3.74697955033333,2.49293830566667,3.37372365066667,3.21344049066667,2.615573832,2.72872876366667,3.50809806933333,3.430117727,2.90237351366667,2.99927400866667,3.60157502433333,3.200008623
POGONA_HENRYLAWSONI,4.65396035,5.416100402,2.824943953,3.566900126,3.312244728,3.168985055,2.172096685,3.051324647,2.92387817,1.948763218,2.579964272,3.277899165,3.23606065,2.635240531,2.906172197,3.059645599,2.904347712
POGONA_MINIMA,4.6194639145,5.353304793,2.704491144,3.3919952565,3.2157670875,3.081014884,2.1464258535,3.000396451,2.6964300655,2.0117833825,2.442570048,3.1882047185,3.1637590225,2.625222091,2.908328379,2.903672387,2.8189757915
POGONA_MINOR,4.7576696995,5.368338675,2.901625824875,3.617481306375,3.397169956625,3.318045988625,2.305947689875,2.99609068775,2.782918618625,1.99808931425,2.356345757375,3.182786072375,3.15482054525,2.597644923125,2.71375539725,3.068528487375,2.880949556625
POGONA_MINOR_MITCHELLI,4.94323300933333,5.46120293266667,3.16247657166667,3.84013488666667,3.58395070833333,3.62332551933333,2.46268230333333,3.149981328,2.949779258,2.055104269,2.44242294466667,3.325351007,3.297466925,2.66473290233333,2.70143415966667,3.27686097833333,3.21407046
POGONA_NULLARBOR,4.728758866,5.06019738675,2.8716946045,3.57407481325,3.298542727,3.31436614825,2.30670532775,3.0102356415,2.760896101,2.007215462,2.249238246,3.2347393935,3.16236502425,2.53219507175,2.600194808,3.208729806,2.90228286875
POGONA_VITTICEPS,5.17581309925,5.416861018,3.36519717425,3.99703709675,3.70439868525,3.841593942,2.58092186225,3.45769993975,3.21597027325,2.40250799825,2.66853337075,3.5830039235,3.55348209225,2.99463829525,2.97192965675,3.5638587565,3.38364425975
RANKINIA_PARVICEPS_BUTLERI,3.725039785,4.083108134,1.880200932,2.502860508,2.3602536345,2.2052924685,1.3698131925,2.0135005615,1.749561161,0.6806335545,1.290502199,2.2907494425,2.28689686,1.610851911,2.0813843765,2.1357123145,1.936970502
TYMPANOCRYPTIS_LINEATA_CENTRALIS,3.9022844278,4.4151247512,2.0975949528,2.6992994264,2.5624720478,2.494266013,1.7225258056,2.2150488152,1.9698031718,1.2085188384,1.554883062,2.4150340132,2.449376938,1.8664506492,2.0049851248,2.2502813476,2.0834539786
TYMPANOCRYPTIS_CEPHALUS_KARRATHA,3.90941390546154,4.24284533869231,2.15176968946154,2.72709973646154,2.63741795953846,2.59931838315385,1.792195379,2.32625196053846,2.10100732138462,1.30294448669231,1.605804115,2.57121691384615,2.50315214738462,1.91663243976923,2.02704717761538,2.38200999530769,2.10965796938462
RANKINIA_DIEMENSIS,3.970291914,4.356708827,2.246367413,2.809201872,2.644044871,2.550226116,1.593308531,2.302585093,1.922787732,1.341122642,1.791759469,2.565974473,2.465553921,1.935859813,2.33020026,2.358335108,2.374595629
TYMPANOCRYPTIS_HOUSTONI,3.9622822724,4.4830380592,2.0925657884,2.7653188334,2.6650791494,2.4869388352,1.725217731,2.2703221606,2.0434304434,1.2864917352,1.5117283124,2.5838367498,2.5277481808,1.9916999104,2.2000150648,2.3323494996,2.110609807
TYMPANOCRYPTIS_INTIMA_INTERIOR,3.96889744825,4.29610816275,2.20363312775,2.80089286575,2.6683213265,2.6030333145,1.83822854425,2.4005805205,2.1067060635,1.33788642675,1.6023722225,2.63626017475,2.6029052905,1.98024111275,2.07289824175,2.29650360075,2.23868058375
TYMPANOCRYPTIS_LINEATA,4.10353760833333,4.65835837566667,2.213082673,2.87530370033333,2.76404267066667,2.525272734,1.73547735766667,2.375755336,2.16481231833333,1.40195342066667,1.72887453133333,2.66956621033333,2.704003806,2.11020835066667,2.21023015366667,2.36319396033333,2.26708305566667
TYMPANOCRYPTIS_TETRAPOROPHORA_NSW,4.0305085166,4.5501697354,2.1487250046,2.832270261,2.6958775952,2.564048158,1.8437503084,2.4368710192,2.2568097124,1.4631673198,1.7244992994,2.6225271186,2.6687649446,2.129797094,2.2105402412,2.400324266,2.1920455802
